datum,gesamt,maennlich,weiblich
2000-01-31,56175,34234,21941
2000-02-29,56139,34010,22129
2000-03-31,55623,33703,21920
2000-04-30,54652,33094,21558
2000-05-31,53059,32086,20973
2000-06-30,53000,31940,21060
2000-07-31,53399,31973,21426
2000-08-31,52355,31377,20978
2000-09-30,51366,30821,20545
2000-10-31,50440,30203,20237
2000-11-30,50475,30201,20274
2000-12-31,50799,30543,20256
2001-01-31,52395,31618,20777
2001-02-28,52373,31634,20739
2001-03-31,52004,31429,20575
2001-04-30,51667,31291,20376
2001-05-31,50737,30598,20139
2001-06-30,50391,30448,19943
2001-07-31,51608,30914,20694
2001-08-31,51113,30498,20615
2001-09-30,50911,30422,20489
2001-10-31,51446,30806,20640
2001-11-30,51866,31157,20709
2001-12-31,52432,31685,20747
2002-01-31,54064,32632,21432
2002-02-28,54566,32892,21674
2002-03-31,52307,31599,20708
2002-04-30,52403,31572,20831
2002-05-31,52131,31426,20705
2002-06-30,52401,31463,20938
2002-07-31,54111,32167,21944
2002-08-31,54005,32077,21928
2002-09-30,53836,32199,21637
2002-10-31,54006,32453,21553
2002-11-30,54800,33132,21668
2002-12-31,56318,34317,22001
2003-01-31,59662,36433,23229
2003-02-28,60779,37213,23566
2003-03-31,60965,37354,23611
2003-04-30,61391,37377,24014
2003-05-31,60691,36861,23830
2003-06-30,59642,36229,23413
2003-07-31,60561,36628,23933
2003-08-31,60750,36654,24096
2003-09-30,59629,36019,23610
2003-10-31,59647,36047,23600
2003-11-30,59987,36277,23710
2003-12-31,60263,36592,23671
2004-01-31,62126,37827,24299
2004-02-29,62237,37987,24250
2004-03-31,62057,37858,24199
2004-04-30,62733,38023,24710
2004-05-31,60617,36858,23759
2004-06-30,59505,36543,22962
2004-07-31,60583,36848,23735
2004-08-31,60288,36396,23892
2004-09-30,58535,35143,23392
2004-10-31,57568,34652,22916
2004-11-30,56352,33967,22385
2004-12-31,58733,35342,23391
2005-01-31,62051,37223,24828
2005-02-28,68078,40570,27508
2005-03-31,70993,41138,29855
2005-04-30,70751,40522,30229
2005-05-31,69258,39934,29324
2005-06-30,69625,40063,29562
2005-07-31,70880,40592,30288
2005-08-31,69455,39661,29794
2005-09-30,68384,38924,29460
2005-10-31,67296,38211,29085
2005-11-30,66886,37958,28928
2005-12-31,66749,37903,28846
2006-01-31,69926,39936,29990
2006-02-28,70004,39959,30045
2006-03-31,69724,39772,29952
2006-04-30,69119,39256,29863
2006-05-31,67832,38301,29531
2006-06-30,67392,37938,29454
2006-07-31,67236,37415,29821
2006-08-31,65913,36490,29423
2006-09-30,64541,35559,28982
2006-10-31,63363,34726,28637
2006-11-30,61848,33843,28005
2006-12-31,60948,33369,27579
2007-01-31,62683,34205,28478
2007-02-28,63843,34704,29139
2007-03-31,64628,35112,29516
2007-04-30,62914,34115,28799
2007-05-31,60999,33063,27936
2007-06-30,60050,32366,27684
2007-07-31,60451,32384,28067
2007-08-31,58976,31521,27455
2007-09-30,57567,30842,26725
2007-10-31,57267,30632,26635
2007-11-30,56269,30053,26216
2007-12-31,55984,30062,25922
2008-01-31,57773,31037,26736
2008-02-29,57812,31127,26685
2008-03-31,57343,30948,26395
2008-04-30,57429,30922,26507
2008-05-31,56421,30330,26091
2008-06-30,55647,29847,25800
2008-07-31,56108,29914,26194
2008-08-31,54911,29171,25740
2008-09-30,53174,28197,24977
2008-10-31,51881,27474,24407
2008-11-30,51053,27230,23823
2008-12-31,51223,27646,23577
2009-01-31,53270,28962,24308
2009-02-28,53873,29553,24320
2009-03-31,54016,29766,24250
2009-04-30,54560,30111,24449
2009-05-31,54096,29950,24146
2009-06-30,54610,30302,24308
2009-07-31,55809,30795,25014
2009-08-31,55577,30633,24944
2009-09-30,54145,29865,24280
2009-10-31,53133,29205,23928
2009-11-30,53229,29475,23754
2009-12-31,52956,29387,23569
2010-01-31,55567,31039,24528
2010-02-28,54221,30390,23831
2010-03-31,52854,29569,23285
2010-04-30,52028,29032,22996
2010-05-31,51050,28355,22695
2010-06-30,50920,28235,22685
2010-07-31,53186,29106,24080
2010-08-31,53545,29027,24518
2010-09-30,51303,27854,23449
2010-10-31,50505,27403,23102
2010-11-30,49878,27141,22737
2010-12-31,49294,26963,22331
2011-01-31,52773,29091,23682
2011-02-28,52145,28808,23337
2011-03-31,52507,28930,23577
2011-04-30,51902,28438,23464
2011-05-31,51057,27941,23116
2011-06-30,49946,27120,22826
2011-07-31,50717,27391,23326
2011-08-31,50373,27057,23316
2011-09-30,47923,25678,22245
2011-10-31,46677,25032,21645
2011-11-30,44258,23837,20421
2011-12-31,44579,24211,20368
2012-01-31,48140,26321,21819
2012-02-29,48884,26863,22021
2012-03-31,50408,27795,22613
2012-04-30,52650,28987,23663
2012-05-31,52890,29194,23696
2012-06-30,51863,28566,23297
2012-07-31,52329,28514,23815
2012-08-31,51411,27786,23625
2012-09-30,48983,26567,22416
2012-10-31,48438,26414,22024
2012-11-30,48013,26281,21732
2012-12-31,48064,26337,21727
2013-01-31,51362,28345,23017
2013-02-28,52960,29262,23698
2013-03-31,52502,28876,23626
2013-04-30,52304,28743,23561
2013-05-31,51494,28243,23251
2013-06-30,50890,27870,23020
2013-07-31,52329,28431,23898
2013-08-31,53662,28868,24794
2013-09-30,52652,28331,24321
2013-10-31,51970,28008,23962
2013-11-30,51651,27957,23694
2013-12-31,51706,28118,23588
2014-01-31,54197,29674,24523
2014-02-28,54761,30081,24680
2014-03-31,54462,29852,24610
2014-04-30,,,
2014-05-31,,,
2014-06-30,,,
2014-07-31,,,
2014-08-31,,,
2014-09-30,,,
2014-10-31,,,
2014-11-30,,,
2014-12-31,,,
