id,name,operator,longitude,latitude
DENW211,Köln Clevischer Ring 3,"Köln, Stadt",7.004589,50.96286
DENW145,Köln Hohenstaufenring,"Köln, Stadt",6.939603,50.934235
DENW164,Köln Hohenstaufenring 57A,"Köln, Stadt",6.939519,50.933647
DENW151,Köln Neumarkt,"Köln, Stadt",6.947953,50.935547
DENW150,Köln Neusser Straße,"Köln, Stadt",6.950097,50.975807
DENW212,Köln Turiner Straße,"Köln, Stadt",6.9577,50.947369
DENW154,Köln Turiner Straße 2,"Köln, Stadt",6.958075,50.946877
DENW053,Köln-Chorweiler,"Köln, Stadt",6.884636,51.019344
DENW147,Köln-Godorf,"Köln, Stadt",6.975625,50.849026
DENW250,Köln-Junkersdorf Jungbluthbrücke,"Köln, Stadt",6.85028,50.93095
DENW249,Köln-Junkersdorf Statthalterhofweg 70,"Köln, Stadt",6.857614,50.931614
DENW149,Köln-Langel,"Köln, Stadt",7.004917,50.845325
DENW297,Köln-Meschenich Brühler Landstraße,"Köln, Stadt",6.924825,50.858994
DENW059,Köln-Rodenkirchen,"Köln, Stadt",6.985164,50.889816
DENW152,Köln-Sürth,"Köln, Stadt",7.002342,50.867622
DENW219,Köln-Weiden,"Köln, Stadt",6.835108,50.938053
DENW288,Köln-Weiden An der alten Post,"Köln, Stadt",6.833489,50.936695
DENW056,Riehl,"Köln, Stadt",6.988825,50.969326
DENW055,Vogelsang,"Köln, Stadt",6.878939,50.954929
