Name,Einzugsgebiet,übergeordnetes Einzugsgebiet,X,Y
Aakgraben,Ahse,Lippe,8.1730882,51.5761943
Althubertushoehe,Rur,Rur,6.3931374,50.749783
Aue,Eder,Weser,8.3173447,51.0499119
AugustdorfKA2,Ems,Ems,8.710075,51.9018275
BadDriburgHersteKA,Aa,Weser,9.1057088,51.7147414
BadHonnefBruengsberg,Sieg,Sieg,7.304182,50.6753189
BadOeynhausenKA,Werre,Weser,8.8214658,52.2174222
BalveKA,Hönne,Ruhr,7.8789408,51.3422765
Baumberg,Münsterische AA,Ems,7.359925,51.9650561
BergneustadtWiedenest,Agger,Sieg,7.6636152,51.0331407
BielefeldStadtwerke,Aa,Weser,8.5425258,52.0353885
Bildchen,Rur,Rur,6.0359439,50.7263935
Birgden,Rur,Rur,6.0415535,51.011619
BocholtMussumKA,Bocholter Aa,Ijssel,6.5376081,51.8158557
Bockeroth,Sieg,Sieg,7.2414825,50.7278757
Boke,Lippe,Lippe,8.5340763,51.725644
BonnLessenich,Rhein,Rhein,7.0483959,50.725999
BorchenKA2,Alme,Lippe,8.7146337,51.6751947
BorgholzhausenRUEB,Else,Weser,8.3087028,52.1064465
BorkenKA,Bocholter Aa,Ijssel,6.8318361,51.8515697
BornheimEichenkamp,Rhein,Rhein,7.0140769,50.7769187
BornheimMertenerHeide,Rhein,Rhein,6.913333,50.7721733
BottropVestische,Emscher,Rhein,6.9509635,51.5492653
BrakelKA2,Brucht,Weser,9.1893049,51.7123796
BreckerfeldHBWengeberg,Volme,Ruhr,7.4661994,51.2482828
Brenzingen,Broel,Sieg,7.599267,50.8677678
BrilonWasserwerk,Moehne,Ruhr,8.5820283,51.3967736
Buederich,Ahse,Lippe,7.8552717,51.5411263
Bueren2,Alme,Lippe,8.5508975,51.5444932
Buke,Lippe,Lippe,8.9495032,51.7358089
Cobbenrode,Wenne,Ruhr,8.155814,51.1958575
CoesfeldKA,Berkel,Ijssel,7.133944,51.9352809
DattelSchleuse,Lippe,Lippe,7.3561656,51.6689834
DelbrueckSteinhorst,Ems,Ems,8.5403895,51.8168954
Diestedde,Lippe,Lippe,8.1720982,51.7353494
DorstenKA,Lippe,Lippe,6.9444255,51.6721016
DrensteinfurtKA,Werse,Ems,7.7325228,51.8049476
Drolshagen,Lenne,Ruhr,7.7635214,51.0224149
DuesseldorfLUA,Rhein,Rhein,6.7420491,51.1899448
DuesseldorfStUA,Rhein,Rhein,6.7374673,51.2343749
Effeln,Lippe,Lippe,8.3574793,51.526545
EitorfN,Sieg,Sieg,7.4216558,50.7749005
Elspetal,Lenne,Ruhr,8.0730233,51.1514465
EmmerichN,Rhein,Rhein,6.2702396,51.8294749
EngerDreyen,Werre,Weser,8.5181487,52.1480821
Erndtebrueck,Eder,Weser,8.2511767,50.9914323
Erwitte,Lippe,Lippe,8.3402799,51.6084364
EschmarMuellekoven,Sieg,Sieg,7.1196106,50.7783806
EssenBRWLANUV,Ruhr,Ruhr,6.9652957,51.4063818
EssenHespertalN,Ruhr,Ruhr,7.0434456,51.3679816
EssenKettwigLUA,Ruhr,Ruhr,6.914298,51.3645479
EssenPoertingsiepenN,Hesperbach,Ruhr,7.0473257,51.3966532
FeldromTB,Heubach,Weser,8.938523,51.8236127
FreckenhorstKA,Ems,Ems,7.9494406,51.9224919
Freudenberg,Sieg,Sieg,7.8847035,50.9083364
Frielingsdorf,Agger,Sieg,7.4196803,51.0463287
Gerderath,Rur,Rur,6.2235351,51.0960237
Geseke,Lippe,Lippe,8.4897291,51.6368663
GronauKA,Issel,Ijssel,7.0145661,52.2243316
GueterslohWWK2,Dalke,Ems,8.3873383,51.9064343
Haenscheid,Broel,Sieg,7.4260529,50.8357109
HagenEugenRichterTurm,Volme,Ruhr,7.4554995,51.3460372
HagenHolthausen,Lenne,Ruhr,7.5456184,51.3487646
HagenMaeckingerBach,Volme,Ruhr,7.4834825,51.3222126
HalverHagebuecherhoeh,Volme,Ruhr,7.5128872,51.1668168
HamminkelnN,Issel,Ijssel,6.6031813,51.7376038
HammMattenbeckeKA,Lippe,Lippe,7.8239906,51.6910279
Hanfmuehle,Sieg,Sieg,7.3470874,50.7114246
HattingenAmStade,Ruhr,Ruhr,7.1431725,51.4221326
HausForst,Rhein,Rhein,6.6185458,50.8754187
HeekNienborgKA,Dinkel,Ijssel,7.0867483,52.1392017
HeidenKA,Bocholter Aa,Ijssel,6.9268174,51.8225009
Herbram,Alme,Lippe,8.9145221,51.6711764
HerrntropN,Lenne,Ruhr,8.1054751,51.0873395
HerscheidWellin,Lenne,Ruhr,7.7722683,51.211382
Herzfeld,Lippe,Lippe,8.111033,51.6635185
HoexterFH,Weser,Weser,9.3690738,51.7659549
Holzhausen,Lahn,Rhein,8.1365605,50.7390197
HomburgBroel,Broel,Sieg,7.5235371,50.9134913
IserlohnHennenKA,Baarbach,Ruhr,7.6687075,51.4454939
IserlohnKesbern,Ruhr,Ruhr,7.7078832,51.3412248
IserlohnWermingsen,Ruhr,Ruhr,7.7333916,51.3736873
Kaldenkirchen,Niers,Rhein,6.1957779,51.3269418
KalletalNiedermeien,Strothe,Lippe,8.9569467,52.0703351
Kalterherberg,Rur,Rur,6.1942403,50.525529
Kellinghausen,Lippe,Lippe,8.4423564,51.5382728
KierspeKA,Volme,Ruhr,7.6144691,51.1406092
Kleinenberg,Lippe,Lippe,8.9709608,51.5836533
Kleve,Rhein,Rhein,6.2388281,51.8188031
KranenburgN,Rhein,Rhein,5.9847471,51.7766264
Krefeld,Rhein,Rhein,6.544396,51.329234
KreuztalKLG,Sieg,Sieg,7.9884242,50.9574561
Kuchenbach,Sieg,Sieg,7.3139624,50.746772
Laggenbeck,Ems,Ems,7.7842062,52.2808588
Lahnhof1N,Lahn,Rhein,8.2426505,50.8945165
LangenbergSender,Deilbach,Rhein,7.1313874,51.3555773
Lascheid,Sieg,Sieg,7.453592,50.7535641
Lattenberg,Moehne,Ruhr,8.1870444,51.4084841
LegdenKA,Dinkel,Ijssel,7.0874048,52.0491301
Lehmbach,Agger,Sieg,7.1971792,50.934116
LengerichKA,Glane,Ems,7.8313679,52.1703401
Lichtenau,Alme,Lippe,8.9030568,51.6159866
LichtenauBlankenrodeStUA,Alme,Lippe,8.9111507,51.5390428
LuedenscheidLoesenbach,Volme,Ruhr,7.5935956,51.2159085
Luetzel,Eder,Weser,8.1864155,50.9669887
MadfeldKA,Alme,Lippe,8.7344883,51.4401723
Marienfeld,Broel,Sieg,7.4355036,50.8847711
MendenWWLendringsen,Hönne,Ruhr,7.8304891,51.4074648
MettingenKA,Mettinger AA,Ems,7.7848419,52.3438652
MettmannPaul,Düssel,Rhein,6.9518415,51.2497368
MuelheimBhAB1N,Ruhr,Ruhr,6.8767159,51.423219
MuensterHKA,Münsterische AA,Ems,7.6511057,52.0069124
NachrodtWiblingwerdeLohagen,Volme,Ruhr,7.6143215,51.3938226
Nassesand,Lippe,Lippe,8.8636132,51.8513685
NeuenradeAffeln,Hönne,Ruhr,7.8527195,51.2757125
Neunkirchen1,Sieg,Sieg,8.0097433,50.800352
NeunkirchenSeelscheid,Broel,Sieg,7.3386049,50.8358474
NevigesL107,Hardenberger Bach,Rhein,7.1325239,51.3103155
NiederdielfenKLG,Sieg,Sieg,8.0794223,50.8630373
Niederkrüchten,Schwalm,Schwalm,6.2248596,51.201165
Niedermarsberg,Diemel,Weser,8.8925708,51.4874418
NieheimKA,Emmer,Weser,9.0948693,51.8263508
OchsenkopfDeponie,Ruhr,Ruhr,8.03935,51.3570913
Oestertalsperre,Lenne,Ruhr,7.819869,51.1661353
OstbevernKA,Bever-Ems,Ems,7.8294226,52.0382033
Osterath,Rhein,Rhein,6.6515824,51.2664449
PaderbornP4,Lippe,Lippe,8.7709028,51.7159143
Peckelsheim,Ugge,Weser,9.1384094,51.5920814
PlettenbergRKB1N,Lenne,Ruhr,7.8693051,51.2273145
PulheimGeyen,Rhein,Rhein,6.7926059,50.9852944
RaesfeldKA,Issel,Ijssel,6.7950618,51.7497705
RekenBhfRUEB,Lippe,Lippe,7.0567193,51.8050443
RemscheidLennep,Lenneper Bach,Rhein,7.2825658,51.1872953
RhedaN,Ems,Ems,8.3093583,51.8603987
RhedeKA,Bocholter Aa,Ijssel,6.6859726,51.8274764
RietbergKA,Ems,Ems,8.4078177,51.8126072
Roenkhausen_N,Lenne,Ruhr,7.9533946,51.216946
Rosbach,Sieg,Sieg,7.6024202,50.8098258
RoteFurth,Agger,Sieg,7.3188348,51.075732
Ruenderoth,Agger,Sieg,7.4405148,50.9871008
Ruhne,Ahse,Lippe,7.9545809,51.5141689
Schapdetten,Stever,Lippe,7.4040275,51.9418068
SchermbeckDaemmerwaldN,Issel,Ijssel,6.7669237,51.7383486
Schlich,Rur,Rur,6.391667,50.7994099
Sindorf,Rhein,Rhein,6.6642893,50.9155312
SolingenWald,Lochbach,Rhein,7.0538998,51.1828689
SprockhoevelSchevenerStrasse,Ruhr,Ruhr,7.2620075,51.320151
StArnoldLys,Ems,Ems,7.3923777,52.2178642
SteinheimKA,Emmer,Weser,9.0981224,51.8810236
SueddinkerN,Ahse,Lippe,7.9320785,51.6314103
Suedkirchen,Stever,Lippe,7.5527284,51.7101194
Suelze,Agger,Sieg,7.272167,51.0232231
Uckendorf,Rhein,Rhein,7.0694238,50.8220889
Versmold,Hessel,Ems,8.1600282,52.0109126
Vormwald,Sieg,Sieg,8.1296327,50.9937825
VredenKA,Berkel,Ijssel,6.8107956,52.0370842
WarburgWelda,Diemel,Weser,9.1160428,51.4537234
WarsteinSteinbruch,Moehne,Ruhr,8.3501798,51.4336995
Wegberg,Schwalm,Schwalm,6.2750667,51.1517074
WenholthausenN,Ruhr,Ruhr,8.1681637,51.2872721
Werther,Aa,Weser,8.4303868,52.0769685
WesterholtKA,Rappshofs Mühlenbach,Lippe,7.0860902,51.6124198
Willebadessen,Nethe,Weser,9.0346008,51.6280522
WittenGedern1,Ruhr,Ruhr,7.3579114,51.4103116
WittenSchnee,Ruhr,Ruhr,7.4222487,51.4315278
WuppertalNaechstebreck,Wupper,Rhein,7.2464425,51.3098199
