PLZ,Ort,"Strasse, Hausnummer",Firma Name,Anzahl,Details,Erreichbarkeit,Vorhanden,Kommentar
50765,Köln,Chorbuschstraße 41,Sparkasse,,,24 Std.,Nein,Existiert wahrsch. nicht
51147,Köln,Alte Tanklager Straße,Nayak Aircraft Service,2,"1) Büro, 2) Hanger 6",,,"Am Flughafen, kein öffentlicher Zugang"
50679,Köln,Deutzer Freiheit 77,Deutscher Freiheit,,EG Pforte Eingangsbereich,,,
50678,Köln,Elisabeth-Treskow-Platz 1,Cardiac Science GmbH,,1. OG,,,"Unwahrscheinlich, da Büro-Adresse auf Website nicht mehr erwähnt und telefonisch (0221 33774590) nicht erreichbar."
51107,Köln,Frankfurter Straße 666,Johanniter Unfall-Hilfe,,,24 Std.,,
51143,Köln,Friedrich-Ebert-Ufer / mobil,KD Köln-Düsseldorfer Pas,14,jedes KD-Schiff,BZ,,
50679,Köln,Herman Pünder Straße 1,Horion Haus,,,,,
51149,Köln,Humboldtstraße 140,Rewe-Schulungszentrum,,an der Rezeption,,,
50679,Köln,Kennedy-Ufer 2 u.a.,Landschaftsverband Rhei,250,,,,
50679,Köln,Mindener Straße 2,Rheinlandhaus,,,,,
51067,Köln,Neufelder Straße 34,Krh.Merheim d.Kl.Stadt K,,,24 Std.,,
50735,Köln,Neusser Landstraße 16,exxonmobil chemicals,,EG neben Empfang,,,
50679,Köln,Ottoplatz 2,LVR-Haus,,,,,
50667,Köln,Salierring 47-53,Bauhaus,,an Info Eing. Trierer Straße,,,
50677,Köln,"Salierring, Eingang TriererStr",Bauhaus,,an der Information,,,
51063,Köln,Schanzenstraße 40,Drahtwerk Köln,,,,,
50679,Köln,Siegburger Straße 229c,MHD Malteser Hilfsdienst,,,,,
50876,Köln,Stolberger Straße 112,Bundesnetzagentur,,,,,
50667,Köln,Unter Sachsenhausen 17,Merck Finck ... Privatbank,,,,,
