PlanZV Kategorie,PlanZV Hauptkategorie Name,Planzeichen (Text),Gesetzliche Definition,FNP TYP,FNP subtype
1,Art der baulichen Nutzung,,,,
1.1,Wohnbaufläche,W,§ 1 Abs. 1 Nr. 1 BauNVO,,
1.1.1,Kleinsiedlungsgebiete,WS,§ 2 BauNVO,,
1.1.2,Reine Wohngebiete,WR,§ 3 BauNVO,,
1.1.3,Allgemeine Wohngebiete,WA,§ 4 BauNVO,,
1.1.4,Besondere Wohngebiete,WB,§ 4a BauNVO,WB,1
1.2,Gemischte Bauflächen,M,§ 1 Abs. 1 Nr. 2 BauNVO,,
1.2.1,Dorfgebiete,MD,§ 5 BauNVO,,
1.2.2,Mischgebiete,MI,§ 6 BauNVO,,
1.2.3,Kerngebiete,MK,§ 7 BauNVO,,
1.3,Gewerbliche Bauflächen,G,§ 1 Abs. 1 Nr. 3 BauNVO,,
1.3.1,Gewerbegebiete,GE,§ 8 BauNVO,,
1.3.2,Industriegebiete,GI,§ 9 BauNVO,,
1.4,Sonderbauflächen,S,§ 1 Abs. 1 Nr. 4 BauNVO,,
1.4.1,Sondergebiete die der Erholung dienen,SO,§ 10 BauNVO,,
1.4.2,Sonstige Sondergebiete,SO,§ 11 BauNVO,,
4,"Einrichtungen und Anlagen zur Versorgung mit Gütern und Dienstleistungen des öffentlichen und privaten Bereichs, Flächen für den Gemeinbedarf, Flächen für Sport- und Spielanlagen",,"§ 5 Abs.2 Nr. 2 und Abs. 4, § 9 Abs.1 Nr. 5 und Abs. 6 BauGB",,
4.1,Flächen für Gemeinbedarf,,,,
4.2,Flächen für Sport und Spielanlagen,,,,
5,Flächen für den überörtlichen Verkehr und die örtlichen Hauptverkehrszüge,,§ 5 Abs.2 Nr. 3 und Abs. 4 BauGB,,
5.1,Straßenverkehr,,,,
5.1.1,Autobahnen und autobahnähnliche Straßen,,,,
5.1.2,Sonstige überörtliche und örtliche Hauptverkehrsstraßen,,,,
5.1.3,Ruhender Verkehr,,,,
5.2,Bahnen,,,,
5.2.1,Bahnanlagen,,,,
5.2.2,Straßenbahnen,,,,
5.2.3,Seilbahnen,,,,
5.3,Überörtliche Wege und örtliche Hauptwege,,,,
5.4,Flächen für den Luftverkehr,,,,
6.1,Verkehrsflächen,,§ 9 Abs.1 Nr. 11 und Abs. 6 BauGB,,
6.1,Straßenverkehrsflächen,,,,
6.3,Verkehrsflächen besonderer Zweckbestimmung,,,,
6.5,Bahnen,,,,
6.6,Luftverkehr,,,,
7,"Flächen für Versorgungsanlagen, für die Abfallentsorgung und Abwasserbeseitigung sowie für Ablagerungen; Anlagen, Einrichtungen und sonstige Maßnahmen, die dem Klimawandel entgegenwirken",,"§ 5 Abs.2 Nr. 2b, Nr. 4 und Abs. 4, § 9 Abs.1 Nr. 12, 14 und Abs. 6 BauGB",,
9,Grünflächen,,"§ 5 Abs.2 Nr. 5 und Abs. 4, § 9 Abs.1 Nr. 15 und Abs. 6 BauGB",,
10,"Wasserflächen und Flächen für die Wasserwirtschaft, den Hochwasserschutz und die Regelung des Wasserabflusses",,"§ 5 Abs.2 Nr. 7 und Abs. 4, § 9 Abs.1 Nr. 16 und Abs. 6 BauGB",,
10.1,Wasserflächen,,,,
10.2,"Flächen für die Wasserwirtschaft, den Hochwasserschutz und die Regelung des Wasserabflusses",,,,
10.3,Flächen mit wasserrechtlichen Festsetzungen,,,,
11,"Flächen für Aufschüttungen, Abgrabungen oder die Gewinnung von Bodenschätzen",,"§ 5 Abs.2 Nr. 8 und Abs. 4, § 9 Abs.1 Nr. 17 und Abs. 6 BauGB",,
11.1,Flächen für Aufschüttungen,,,,
11.2,Flächen für Abgrabungen oder für die Gewinnung von Bodenschätzen,,,,
12,Flächen für die Landwirtschaft und Wald,,"§ 5 Abs.2 Nr. 9 und Abs. 4, § 9 Abs.1 Nr. 18 und Abs. 6 BauGB",,
12.1,Flächen für die Landwirtschaft,,,,
12.2,Flächen für Wald,,,,
13,"Planungen, Nutzungsregelungen, Maßnahmen und Flächen für Maßnahmen zum Schutz, zur Pflege und zur Entwicklung von Natur und Landschaft",,"§ 5 Abs.2 Nr. 10 und Abs. 4, § 9 Abs.1 Nr. 20, 25 und Abs. 6 BauGB",,
13.1,"Flächen für Maßnahmen zum Schutz, zur Pflege und zur Entwicklung von Natur und Landschaft",,"§ 5 Abs. 2 Nr. 10 und Abs. 4, § 9 Abs. 1 Nr. 20 und Abs. 6 BauGB",,
13.2,"Anpflanzungen von Bäumen, Sträuchern undsonstigen Bepflanzungen und für die Erhaltung von Bäumen, Sträuchern und sonstigen Bepflanzungen sowie von Gewässern",,§ 9 Abs. 1 Nr. 25 und Abs. 6 BauGB,,
13.2.1,"Flächen zum Anpflanzen von Bäumen, Sträuchern und sonstigen Bepflanzungen",,§ 9 Abs. 1 Nr. 25 Buchstabe a) und Abs. 6 BauGB,,
13.2.2,"Flächen mit Bindungen für Bepflanzungen und für die Erhaltung von Bäumen, Sträuchern und sonstigen Bepflanzungen sowie von Gewässern",,§ 9 Abs. 1 Nr. 25 Buchstabe b) und Abs. 6 BauGB,,
13.2.3,Schutzgebiete und Schutzobjekte im Sinne des Naturschutzrechtes,,"§ 5 Abs.4, § 9 Abs. 6 BauGB",,
